Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Patent citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Sustainable Development Goals (2021),Topic Cluster name,Topic Cluster number,Topic name,Topic number,Topic Cluster Prominence Percentile,Topic Prominence Percentile
Two-terminal traveling-wave-based transmission-line protection,"Costa, F.B.| Monti, A.| Lopes, F.V.| Silva, K.M.| Jamborsalamati, P.| Sadu, A.",6,22333585200| 57203094797| 55700698000| 9744170000| 57189003352| 35753685000,2017,2017-06-01,IEEE Transactions on Power Delivery,32,3,1382-1393,7482846,ISSN-08858977,17370,Journal,2.24,4,7.4,7,1.814,5,1.15,25,45,2.88,11.11,5,8,0,"Costa, F.B., Monti, A., Lopes, F.V. and 3 more (...) (2017).Two-terminal traveling-wave-based transmission-line protection. IEEE Transactions on Power Delivery,32(3) 1382-1393",https://www.scopus.com/record/display.url?eid=2-s2.0-85019068589&origin=resultslist,10.1109/TPWRD.2016.2574900,Article,,2-s2.0-85019068589,-,Universidade de Brasília| RWTH Aachen University| Universidade Federal do Rio Grande do Norte,3,60023857| 60016653| 60024989,Universidade Federal do Rio Grande do Norte| Rheinisch-Westfälische Technische Hochschule Aachen| Universidade de Brasília,22333585200,35753685000,-,-,Germany| Brazil,2102| 2208,Energy Engineering and Power Technology| Electrical and Electronic Engineering,-,"Electric Fault Location,Electric Lines,Electric Power Distribution",407,"Electric Fault Location,Fault Detection,Power Lines",1374,64.883,97.068
Depth data error modeling of the ZED 3D vision sensor from stereolabs,"Ortiz, L.E.| Cabrera, E.V.| Gonçalves, L.M.",3,57203942338| 57203942641| 8843298100,2018,2018-01-01,Electronic Letters on Computer Vision and Image Analysis,17,1,1-15,-,ISSN-15775097,21100198475,Journal,0.3,79,0.9,75,0.13,92,0.63,14,43,2.64,13.64,4,9,0,"Ortiz, L.E., Cabrera, E.V., Gonçalves, L.M. (2018).Depth data error modeling of the ZED 3D vision sensor from stereolabs. Electronic Letters on Computer Vision and Image Analysis,17(1) 1-15",https://www.scopus.com/record/display.url?eid=2-s2.0-85050286454&origin=resultslist,10.5565/rev/elcvia.1084,Article,Gold|Green,2-s2.0-85050286454,-,Universidade Federal do Rio Grande do Norte,1,60023857,Universidade Federal do Rio Grande do Norte,57203942338,8843298100,8843298100,-,Brazil,1707| 1712,Computer Vision and Pattern Recognition| Software,-,"Algorithms,Computer Vision,Models",0,"Depth Map,Camera,Super-Resolution",7622,99.799,97.015
Fuzzy control system for variable rate irrigation using remote sensing,"Mendes, W.R.| Araújo, F.M.U.| Dutta, R.| Heeren, D.M.",4,7003469946| 35316777100| 7102252875| 35098602800,2019,2019-06-15,Expert Systems with Applications,124,-,13-24,-,ISSN-09574174,24201,Journal,3.12,2,11,2,1.494,4,4.27,98,41,5.01,8.19,3,3,0,"Mendes, W.R., Araújo, F.M.U., Dutta, R. and 1 more (...) (2019).Fuzzy control system for variable rate irrigation using remote sensing. Expert Systems with Applications,12413-24",https://www.scopus.com/record/display.url?eid=2-s2.0-85060315089&origin=resultslist,10.1016/j.eswa.2019.01.043,Article,Hybrid gold|Green,2-s2.0-85060315089,-,University of Nebraska-Lincoln| CSIRO| Universidade Federal do Rio Grande do Norte,3,113279258| 60023857| 60029470| 60026306,IFMT| Universidade Federal do Rio Grande do Norte| Commonwealth Scientific and Industrial Research Organization| University of Nebraska–Lincoln,7003469946,35098602800,7003469946,-,United States| Australia| Brazil,1702| 1706| 2200,Artificial Intelligence| Computer Science Applications| General Engineering,SDG 2,"Climate Models,Model,Rainfall",5,"Remote Sensing,Latent Heat Flux,Crop Coefficient",2534,99.13,98.494
Nonlinear model predictive control for trajectory tracking of nonholonomic mobile robots: A modified approach,"Nascimento, T.P.| Dórea, C.E.T.| Gonçalves, L.M.G.",3,18038159700| 7004096252| 8843298100,2018,2018-02-21,International Journal of Advanced Robotic Systems,15,1,-,-,ISSN-17298806,144749,Journal,0.9,36,2.3,48,0.334,50,1.16,50,40,2.56,14.07,5,9,0,"Nascimento, T.P., Dórea, C.E.T., Gonçalves, L.M.G. (2018).Nonlinear model predictive control for trajectory tracking of nonholonomic mobile robots: A modified approach. International Journal of Advanced Robotic Systems,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85042744977&origin=resultslist,10.1177/1729881418760461,Article,Gold,2-s2.0-85042744977,-,Universidade Federal da Paraíba| Universidade Federal do Rio Grande do Norte,2,60011324| 60023857,Universidade Federal da Paraíba| Universidade Federal do Rio Grande do Norte,18038159700,8843298100,18038159700,-,Brazil,1702| 1706| 1712,Artificial Intelligence| Computer Science Applications| Software,-,"Control,Controllers,Linear Matrix Inequalities",9,"Nonholonomic,Controller,Mobile Robots",2364,97.592,95.187
Complex Correntropy: Probabilistic Interpretation and Application to Complex-Valued Data,"Guimaraes, J.P.F.| Fontes, A.I.R.| Rego, J.B.A.| De Martins, M.A.| Principe, J.C.",5,57190426813| 55763633400| 56702327300| 55415511600| 36045958600,2017,2017-01-01,IEEE Signal Processing Letters,24,1,42-45,7763864,ISSN-10709908,17316,Journal,1.75,8,6,4,0.732,20,0.19,10,38,3.18,9.13,7,7,0,"Guimaraes, J.P.F., Fontes, A.I.R., Rego, J.B.A. and 2 more (...) (2017).Complex Correntropy: Probabilistic Interpretation and Application to Complex-Valued Data. IEEE Signal Processing Letters,24(1) 42-45",https://www.scopus.com/record/display.url?eid=2-s2.0-85012950213&origin=resultslist,10.1109/LSP.2016.2634534,Article,,2-s2.0-85012950213,-,University of Florida| Universidade Federal do Rio Grande do Norte,2,112726440| 60023857| 60013959,"Instituto Federal de Educação, Ciência e Tecnologia do Rio| Universidade Federal do Rio Grande do Norte| University of Florida",57190426813,36045958600,-,-,United States| Brazil,1711| 2208| 2604,Signal Processing| Electrical and Electronic Engineering| Applied Mathematics,-,"Adaptive Filters,Algorithms,Active Noise Control",1072,"Adaptive Filtering,Impulsive Noise,Mean Square Error",37345,26.555,83.644
A review of Dynamic Data Envelopment Analysis: state of the art and applications,"Mariz, F.B.A.R.| Almeida, M.R.| Aloise, D.",3,57197817200| 57197813132| 12759644500,2018,2018-03-01,International Transactions in Operational Research,25,2,469-505,-,ISSN-09696016,9700153238,Journal,1.52,12,4.5,12,0.827,19,2.88,149,37,2.72,10.3,5,8,0,"Mariz, F.B.A.R., Almeida, M.R., Aloise, D. (2018).A review of Dynamic Data Envelopment Analysis: state of the art and applications. International Transactions in Operational Research,25(2) 469-505",https://www.scopus.com/record/display.url?eid=2-s2.0-85035007736&origin=resultslist,10.1111/itor.12468,Article,Bronze,2-s2.0-85035007736,-,University of Montreal| Polytechnique Montreal| Universidade Federal do Rio Grande do Norte,3,113295219| 60023857| 60019141| 60019141,Federal Institute of Education Science and Technology of Rio Grande Do Norte (IFRN)| Universidade Federal do Rio Grande do Norte| Polytechnique Montréal| Polytechnique Montréal,57197817200,12759644500,-,-,Brazil| Canada,1403| 1405| 1408| 1706| 1803,Business and International Management| Management of Technology and Innovation| Strategy and Management| Computer Science Applications| Management Science and Operations Research,-,"Data Envelopment Analysis,Banks,Efficiency",384,"Decision Making Units,Data Envelopment Analysis,DEA Model",373,85.351,99.062
"Artificial intelligence on the identification of risk groups for osteoporosis, a general review","Cruz, A.S.| Lins, H.C.| Medeiros, R.V.A.| Filho, J.M.F.| Silva, S.G.",5,56022953900| 57222580164| 57200417054| 57200411078| 16178518600,2018,2018-01-29,BioMedical Engineering Online,17,1,-,12,ISSN-1475925X,28586,Journal,1.14,24,3.5,32,0.595,41,2.26,64,36,1.6,20,6,17,0,"Cruz, A.S., Lins, H.C., Medeiros, R.V.A. and 2 more (...) (2018).Artificial intelligence on the identification of risk groups for osteoporosis, a general review. BioMedical Engineering Online,17(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85041222883&origin=resultslist,10.1186/s12938-018-0436-1,Review,Gold|Green,2-s2.0-85041222883,29378578,Universidade Federal do Rio Grande do Norte,1,60023857| 60023857,Universidade Federal do Rio Grande do Norte| Universidade Federal do Rio Grande do Norte,56022953900,16178518600,56022953900,-,Brazil,2204| 2502| 2741| 3614,"Biomedical Engineering| Biomaterials| Radiology, Nuclear Medicine and Imaging| Radiological and Ultrasound Technology",-,"Bone And Bones,Osteoporosis,Bone Density",45,"Cancellous Bone,Microarchitecture,Bone And Bones",1143,91.304,94.615
Towards station-level demand prediction for effective rebalancing in bike-sharing systems,"Hulot, P.| Aloise, D.| Jena, S.D.",3,57203386190| 12759644500| 55535552300,2018,2018-07-19,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,-,-,378-386,-,-,21100872702,Conference Proceeding,-,-,-,-,-,-,2.43,38,35,3.95,7.35,6,5,0,"Hulot, P., Aloise, D., Jena, S.D. (2018).Towards station-level demand prediction for effective rebalancing in bike-sharing systems. Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,378-386",https://www.scopus.com/record/display.url?eid=2-s2.0-85051497095&origin=resultslist,10.1145/3219819.3219873,Conference Paper,Green,2-s2.0-85051497095,-,University of Montreal| Polytechnique Montreal| Université du Québec à Montréal,3,60019141| 60019141| 60120292,Polytechnique Montréal| Polytechnique Montréal| École des Sciences de la Gestion,57203386190,55535552300,-,-,Canada,1710| 1712,Information Systems| Software,-,"Traffic Control,Transportation,Models",107,"Car Sharing,Bike,Autonomous Vehicles",16429,97.324,99.802
A comprehensive review on bypass diode application on photovoltaic modules,"Vieira, R.G.| de Araújo, F.M.U.| Dhimish, M.| Guerra, M.I.S.",4,57190174425| 35316777100| 57190686691| 57197356961,2020,2020-05-01,Energies,13,10,-,2472,ISSN-19961073,62932,Journal,1.16,28,4.7,15,0.598,29,0.64,29,34,1.9,17.93,2,14,0,"Vieira, R.G., de Araújo, F.M.U., Dhimish, M. and 1 more (...) (2020).A comprehensive review on bypass diode application on photovoltaic modules. Energies,13(10) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85085215941&origin=resultslist,10.3390/en13102472,Review,Gold|Green,2-s2.0-85085215941,-,Universidade Federal do Rio Grande do Norte| University of Huddersfield,2,112571293| 60023857| 60032343,Federal University of the Semi-Arid| Universidade Federal do Rio Grande do Norte| University of Huddersfield,57190174425,57197356961,57190686691,-,United Kingdom| Brazil,2101| 2102| 2103| 2105| 2208| 2606,"Energy (miscellaneous)| Energy Engineering and Power Technology| Fuel Technology| Renewable Energy, Sustainability and the Environment| Electrical and Electronic Engineering| Control and Optimization",SDG 7,"Electric Potential,Electric Inverters,DC-DC Converters",13,"Maximum Power Point Trackers,Powerpoint,Solar Cell",119,98.462,99.725
Less is more: basic variable neighborhood search heuristic for balanced minimum sum-of-squares clustering,"Costa, L.R.| Aloise, D.| Mladenović, N.",3,57194633011| 12759644500| 55947364100,2017,2017-11-01,Information Sciences,415-416,-,247-253,-,ISSN-00200255,15134,Journal,2.29,4,10,3,1.635,5,1.47,37,33,2.09,11.02,8,12,0,"Costa, L.R., Aloise, D., Mladenović, N. (2017).Less is more: basic variable neighborhood search heuristic for balanced minimum sum-of-squares clustering. Information Sciences,415-416247-253",https://www.scopus.com/record/display.url?eid=2-s2.0-85021316393&origin=resultslist,10.1016/j.ins.2017.06.019,Article,,2-s2.0-85021316393,-,University of Montreal| Mathematical Institute of the Serbian Academy of Sciences and Arts| Polytechnique Montreal| Universidade Federal do Rio Grande do Norte,4,60023857| 60068830| 60068829| 60019141| 60019141,Universidade Federal do Rio Grande do Norte| Matematički Institut SANU| Srpska akademija nauka i umetnosti| Polytechnique Montréal| Polytechnique Montréal,57194633011,55947364100,12759644500,-,Serbia| Brazil| Canada,1702| 1706| 1712| 1802| 2207| 2614,Artificial Intelligence| Computer Science Applications| Software| Information Systems and Management| Control and Systems Engineering| Theoretical Computer Science,-,"Location,Algorithms,Optimization",1249,"Heuristics,Variable Neighborhood Search,Greedy Randomized Adaptive Search Procedure",40920,37.057,74.554
The IoT Energy Challenge: A Software Perspective,"Georgiou, K.| Xavier-De-Souza, S.| Eder, K.",3,57150810600| 7801645972| 23391989300,2018,2018-09-01,IEEE Embedded Systems Letters,10,3,53-56,8012513,ISSN-19430663,19700177026,Journal,1.15,23,3.8,20,0.4,30,0.5,27,32,1.02,27.58,7,29,0,"Georgiou, K., Xavier-De-Souza, S., Eder, K. (2018).The IoT Energy Challenge: A Software Perspective. IEEE Embedded Systems Letters,10(3) 53-56",https://www.scopus.com/record/display.url?eid=2-s2.0-85028473980&origin=resultslist,10.1109/LES.2017.2741419,Review,Green,2-s2.0-85028473980,-,University of Bristol| Universidade Federal do Rio Grande do Norte,2,60020650| 60023857,University of Bristol| Universidade Federal do Rio Grande do Norte,57150810600,23391989300,57150810600,-,United Kingdom| Brazil,1700| 2207,General Computer Science| Control and Systems Engineering,SDG 7,"Wireless Sensor Networks,Sensor Nodes,Routing Protocols",27,"Middleware,Data Dissemination,Firmware",7996,97.726,87.812
Cyclostationary correntropy: Definition and applications,"Fontes, A.I.R.| Rego, J.B.A.| Martins, A.D.M.| Silveira, L.F.Q.| Principe, J.C.",5,55763633400| 56702327300| 55415511600| 56363591700| 36045958600,2017,2017-03-01,Expert Systems with Applications,69,-,110-117,-,ISSN-09574174,24201,Journal,2.54,3,9.5,2,1.271,8,0.85,31,32,2.5,8.81,9,10,0,"Fontes, A.I.R., Rego, J.B.A., Martins, A.D.M. and 2 more (...) (2017).Cyclostationary correntropy: Definition and applications. Expert Systems with Applications,69110-117",https://www.scopus.com/record/display.url?eid=2-s2.0-84992520257&origin=resultslist,10.1016/j.eswa.2016.10.029,Article,,2-s2.0-84992520257,-,University of Florida| Universidade Federal do Rio Grande do Norte,2,112659637| 60023857| 60023857| 60023857| 60013959,Federal Institute of Rio Grande do Norte| Universidade Federal do Rio Grande do Norte| Universidade Federal do Rio Grande do Norte| Universidade Federal do Rio Grande do Norte| University of Florida,55763633400,36045958600,55763633400,-,United States| Brazil,1702| 1706| 2200,Artificial Intelligence| Computer Science Applications| General Engineering,-,"Adaptive Filters,Algorithms,Active Noise Control",1072,"Adaptive Filtering,Impulsive Noise,Mean Square Error",37345,26.555,83.644
